animal_id,breed,age_years,weight_kg,lactation_number,timestamp,day,body_temp,heart_rate,respiratory_rate,activity_level,rumination_min,feed_intake,water_intake,milk_yield,lying_time,steps_count,gait_score,stance_symmetry,stride_length,health_status,disease_type,is_anomaly,ambient_temp,humidity_pct,thi_index
KS-0000,Jersey,5.4,635.2,2,2025-01-01 10:38:00,0,38.79,52.61,17.0,75.38,515.49,18.38,38.97,13.06,13.87,3845.33,1.2,0.987,1.6,0,None,0,39.0,68.2,94.4
KS-0000,Jersey,5.4,635.2,2,2025-01-02 15:08:00,1,38.32,49.86,23.82,78.89,402.27,25.28,62.43,12.5,11.68,4725.55,1.3,0.953,1.59,0,None,0,39.4,70.4,95.5
KS-0000,Jersey,5.4,635.2,2,2025-01-03 18:40:00,2,38.58,50.65,15.4,77.02,465.43,27.27,73.28,18.63,12.75,2927.76,1.3,0.985,1.61,0,None,0,22.7,75.5,70.8
KS-0000,Jersey,5.4,635.2,2,2025-01-04 15:41:00,3,38.76,48.02,23.74,74.55,452.7,20.06,68.28,27.32,10.49,3344.72,1.4,0.932,1.67,0,None,0,26.9,72.4,77.0
KS-0000,Jersey,5.4,635.2,2,2025-01-05 14:51:00,4,38.67,60.96,21.94,59.18,404.4,21.75,41.92,24.24,12.81,3030.16,1.3,0.949,1.56,0,None,0,28.7,52.1,76.8
KS-0000,Jersey,5.4,635.2,2,2025-01-06 11:23:00,5,38.82,80.31,26.86,56.63,500.4,21.4,71.62,18.43,13.15,3976.82,1.3,0.968,1.69,0,None,0,31.3,53.0,80.4
KS-0000,Jersey,5.4,635.2,2,2025-01-07 06:47:00,6,39.38,47.67,19.43,80.3,439.02,22.08,77.49,19.38,13.87,3097.89,1.4,0.956,1.54,0,None,0,32.6,88.9,88.7
KS-0000,Jersey,5.4,635.2,2,2025-01-08 08:53:00,7,39.31,58.42,24.63,80.24,455.68,25.33,75.15,25.41,12.24,3659.91,1.1,0.946,1.64,0,None,0,38.7,43.5,87.9
KS-0000,Jersey,5.4,635.2,2,2025-01-09 07:31:00,8,39.01,51.21,19.97,61.62,440.61,18.53,39.26,13.46,11.59,3290.86,1.3,0.997,1.65,0,None,0,22.7,55.2,69.1
KS-0000,Jersey,5.4,635.2,2,2025-01-10 16:59:00,9,38.67,74.08,17.87,63.86,399.77,27.43,68.17,17.16,10.18,4652.71,1.0,0.919,1.56,0,None,0,33.8,61.8,85.4
KS-0000,Jersey,5.4,635.2,2,2025-01-11 18:54:00,10,38.33,44.99,20.34,62.54,443.88,27.52,75.47,21.98,12.78,4841.65,1.4,0.969,1.57,0,None,0,36.8,71.3,91.8
KS-0000,Jersey,5.4,635.2,2,2025-01-12 06:32:00,11,39.01,47.56,20.45,50.28,474.93,21.63,51.45,20.55,13.85,2144.48,1.3,0.946,1.63,0,None,0,24.3,52.5,71.0
KS-0000,Jersey,5.4,635.2,2,2025-01-13 13:22:00,12,39.32,70.91,26.71,61.22,506.28,27.48,62.28,18.03,11.41,4422.24,1.4,0.904,1.57,0,None,0,28.3,45.9,75.4
KS-0000,Jersey,5.4,635.2,2,2025-01-14 17:08:00,13,39.13,64.38,27.39,75.53,511.28,27.73,44.43,25.26,13.75,2315.45,1.2,0.908,1.58,0,None,0,39.3,58.7,92.5
KS-0000,Jersey,5.4,635.2,2,2025-01-15 06:24:00,14,39.26,42.96,23.32,72.38,483.43,23.69,77.8,16.7,10.58,3719.42,1.0,0.935,1.64,0,None,0,38.4,81.1,96.6
KS-0000,Jersey,5.4,635.2,2,2025-01-16 07:50:00,15,39.11,65.1,27.95,51.53,492.69,27.93,54.36,29.56,11.9,3237.94,1.4,0.984,1.69,0,None,0,37.3,52.4,88.2
KS-0000,Jersey,5.4,635.2,2,2025-01-17 19:08:00,16,38.44,49.56,24.62,54.87,478.36,23.22,75.74,28.41,11.67,4194.36,1.1,0.936,1.53,0,None,0,31.3,79.2,84.8
KS-0000,Jersey,5.4,635.2,2,2025-01-18 17:29:00,17,39.0,74.48,19.11,66.07,427.15,24.31,45.09,13.91,11.42,4813.67,1.1,0.918,1.42,0,None,0,24.2,63.0,71.9
KS-0000,Jersey,5.4,635.2,2,2025-01-19 15:45:00,18,38.74,41.6,26.78,80.73,508.61,26.02,69.51,18.46,11.82,3469.62,1.4,0.952,1.56,0,None,0,31.6,52.1,80.6
KS-0000,Jersey,5.4,635.2,2,2025-01-20 14:54:00,19,38.69,39.95,19.72,54.34,477.62,25.72,61.48,22.4,10.64,2935.07,1.3,0.936,1.47,0,None,0,23.8,47.6,69.9
KS-0000,Jersey,5.4,635.2,2,2025-01-21 12:47:00,20,38.46,46.24,28.47,63.78,516.86,27.51,74.16,15.35,12.68,3759.92,1.1,0.934,1.52,0,None,0,24.1,70.5,72.5
KS-0000,Jersey,5.4,635.2,2,2025-01-22 11:36:00,21,38.86,77.99,20.03,67.3,413.8,25.32,71.29,14.08,11.69,4838.9,1.4,0.906,1.63,0,None,0,36.4,81.3,93.4
KS-0000,Jersey,5.4,635.2,2,2025-01-23 10:04:00,22,38.58,52.84,23.67,76.32,507.94,22.83,62.13,20.99,10.29,3202.76,1.2,0.919,1.67,0,None,0,32.3,89.9,88.3
KS-0000,Jersey,5.4,635.2,2,2025-01-24 14:32:00,23,39.08,70.86,25.58,67.0,455.84,22.24,59.34,20.79,13.06,2116.44,1.4,0.958,1.52,0,None,0,27.2,70.7,77.2
KS-0000,Jersey,5.4,635.2,2,2025-01-25 15:12:00,24,38.45,68.69,24.26,63.58,388.73,19.56,47.07,17.95,10.78,4317.68,1.1,0.914,1.52,0,None,0,38.5,69.4,93.9
KS-0000,Jersey,5.4,635.2,2,2025-01-26 16:43:00,25,39.24,48.97,15.59,60.4,413.35,20.22,58.37,22.07,10.83,2846.54,1.2,0.979,1.57,0,None,0,28.8,81.8,81.2
KS-0000,Jersey,5.4,635.2,2,2025-01-27 08:17:00,26,38.63,62.83,22.69,53.59,427.12,20.69,77.03,29.67,13.34,3716.62,1.1,0.957,1.51,0,None,0,32.0,76.0,85.4
KS-0000,Jersey,5.4,635.2,2,2025-01-28 08:31:00,27,39.39,62.77,16.03,72.65,398.5,27.04,77.19,23.61,11.41,2074.15,1.4,0.936,1.7,0,None,0,36.0,45.7,85.1
KS-0000,Jersey,5.4,635.2,2,2025-01-29 19:55:00,28,39.35,59.29,22.95,64.83,407.72,19.69,76.91,27.22,12.12,2283.08,1.2,0.911,1.44,0,None,0,35.2,52.5,85.5
KS-0000,Jersey,5.4,635.2,2,2025-01-30 18:56:00,29,38.82,62.67,26.91,65.03,405.48,18.86,77.59,25.18,11.6,4859.27,1.1,0.955,1.65,0,None,0,39.2,47.7,89.6
KS-0001,Holstein Friesian,8.0,492.3,0,2025-01-01 14:42:00,0,38.94,43.05,14.94,77.8,516.55,23.42,44.5,25.28,12.66,2216.51,1.3,0.999,1.56,0,None,0,24.2,76.6,73.3
KS-0001,Holstein Friesian,8.0,492.3,0,2025-01-02 08:47:00,1,38.42,57.4,16.06,67.46,471.98,21.48,77.59,20.8,12.19,4534.47,1.4,0.954,1.52,0,None,0,30.3,89.5,84.9
KS-0001,Holstein Friesian,8.0,492.3,0,2025-01-03 16:54:00,2,38.52,42.66,15.13,69.94,415.78,21.32,59.41,27.24,12.73,4769.22,1.0,0.911,1.68,0,None,0,32.6,89.1,88.7
